Título,URL,Estado,Frecuencia,Tamaño,Hastags,Materia
"Área de Gestión Sanitaria Sur de Córdoba (Cabra, Córdoba)",https://agssc.es/hospital-infanta-margarita/,Activa,Semestral,Pequeno,Organismos administrativos / Servicios de salud / Córdoba,Medicina
Red Municipal de Bibliotecas de Córdoba,https://biblioteca.cordoba.es,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Córdoba,Bibliotecas
"CEIP Camposoto (San Fernando, Cádiz)",http://ceipcamposoto.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Orquesta Sinfónica Ciudad de Priego (Priego de Córdoba, Córdoba)",http://www.orquestadepriego.com,Activa,Anual,Mediano,Música / Orquestas / Asociaciones / Córdoba,Música
"CEIP Marismas de Hinojos (Hinojos, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21001259/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
Abba Teatro (Almería),https://abbateatro.blogspot.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Almería,Arte
"Noisy Budgie Brewery (Marbella, Málaga)",https://www.noisybudgie.net,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Málaga,Bebidas
"Pulido Varo (Aguilar de la Frontera, Córdoba)",http://hermanospulidovaro.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
Hospital Vithas Parque de San Antonio (Málaga),https://www.vithas.es/Malaga/home,Activa,Semestral,Pequeno,Hospitales / Servicios de salud / Medicina / Málaga,Salud pública
"IES Casas Viejas (Benalup-Casas Viejas, Cádiz)",http://iescasasviejas.net,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Aeropuerto de Almería,https://www.aena.es/es/aeropuerto-almeria/index.html,Activa,Anual,Mediano,Transportes / Aeropuertos / Organismos administrativos / Almería,Transporte
CEIP Josefina Baro Soler (Almería),http://ceipjosefinabarosoler.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
